model,cutoff,evaluable_users,k,precision,recall,map,ndcg,hit_rate,coverage,novelty_bits,n_users,fit_seconds,recommend_seconds
Popularity,2011-10-09,1701,10,0.038447971781305115,0.019105754053402077,0.016004573362430087,0.041890573100685564,0.27336860670194,0.019796380090497737,2.768334150314331,1701,0.001,0.07
ItemKNN,2011-10-09,1701,10,0.06096413874191652,0.0399539742202143,0.034810187906895725,0.07351081067662882,0.3544973544973545,0.208710407239819,3.4514718055725098,1701,0.423,0.248
PureSVD,2011-10-09,1701,10,0.08718400940623164,0.0562741926868709,0.05014358291381961,0.10444225773806615,0.48030570252792476,0.20475113122171945,3.945918321609497,1701,0.123,0.073
LegacySVD,2011-10-09,1701,10,0.0012933568489124046,0.00037874750224639326,0.0004411815023220079,0.0012576770246994576,0.00823045267489712,0.0291289592760181,9.919405937194824,1701,1.54,0.266
Popularity,2011-11-09,1287,10,0.03061383061383062,0.019478586415139717,0.012837044642600196,0.03400235202104405,0.22766122766122765,0.019347705914870093,2.778465509414673,1287,0.0,0.053
ItemKNN,2011-11-09,1287,10,0.04840714840714841,0.035947549504796124,0.027309941307957178,0.05857066555090686,0.2975912975912976,0.1691542288557214,3.371438503265381,1287,0.478,0.234
PureSVD,2011-11-09,1287,10,0.07777777777777778,0.06196575755051859,0.04832687557885971,0.09909936511748371,0.44988344988344986,0.19955776672194583,3.9079411029815674,1287,0.145,0.057
LegacySVD,2011-11-09,1287,10,0.0008547008547008548,0.00036713269147006593,0.0002095435428768762,0.0007137854394004212,0.006216006216006216,0.027639579878385848,9.98755931854248,1287,1.607,0.167
Popularity,2011-11-24,771,10,0.023994811932555128,0.019951703785678045,0.009228750033904132,0.02627005803465882,0.185473411154345,0.020065970313358987,2.778862953186035,771,0.0,0.032
ItemKNN,2011-11-24,771,10,0.03372243839169909,0.03243842287110356,0.018245803689684547,0.04182508328406937,0.22957198443579765,0.12506871907641562,3.350180149078369,771,0.471,0.162
PureSVD,2011-11-24,771,10,0.059273670557717255,0.055796039706290025,0.037260529397905105,0.07802332330223642,0.36835278858625164,0.1880153930731171,3.8802483081817627,771,0.153,0.037
LegacySVD,2011-11-24,771,10,0.0007782101167315177,0.00033327564217044725,0.0001221357544314743,0.0005293425129041311,0.005188067444876783,0.02446399120395822,9.886452674865723,771,1.868,0.101
