model,k,precision,recall,map,ndcg,hit_rate,coverage,novelty_bits,n_users,fit_seconds,recommend_seconds
Popularity,5,0.03108003108003108,0.011609306985491176,0.017180998014331348,0.032933732281064484,0.13364413364413363,0.01105583195135434,2.608609437942505,1287,0.0,0.051
Popularity,10,0.03061383061383062,0.019478586415139717,0.012837044642600196,0.03400235202104405,0.22766122766122765,0.019347705914870093,2.778465509414673,1287,0.0,0.051
Popularity,20,0.031157731157731152,0.03729182652932694,0.011510057733824523,0.0396504897300544,0.36752136752136755,0.035931453841901606,2.9832868576049805,1287,0.0,0.051
ItemKNN,5,0.05656565656565656,0.023026097452791515,0.03730186480186481,0.0614194140220147,0.19813519813519814,0.11746821448313986,3.2854652404785156,1287,0.466,0.213
ItemKNN,10,0.04840714840714841,0.035947549504796124,0.027309941307957178,0.05857066555090686,0.2975912975912976,0.1691542288557214,3.371438503265381,1287,0.466,0.213
ItemKNN,20,0.04133644133644134,0.05918254254219868,0.022871927365894055,0.06113177587873794,0.4281274281274281,0.238253178551686,3.506300449371338,1287,0.466,0.213
PureSVD,5,0.09121989121989123,0.03898901713176861,0.06309807476474143,0.10422962009441945,0.331002331002331,0.1498065229408513,3.7943429946899414,1287,0.133,0.056
PureSVD,10,0.07777777777777778,0.06196575755051859,0.04832687557885971,0.09909936511748371,0.44988344988344986,0.19955776672194583,3.9079411029815674,1287,0.133,0.056
PureSVD,20,0.06324786324786325,0.09381578039241344,0.040821358056900715,0.09958808353450786,0.5703185703185704,0.265616362631288,4.039493083953857,1287,0.133,0.056
LegacySVD,5,0.0003108003108003108,4.011492383585407e-05,0.0001554001554001554,0.00033253498793244375,0.001554001554001554,0.02211166390270868,8.892509460449219,1287,2.412,0.166
LegacySVD,10,0.0008547008547008548,0.00036713269147006593,0.0002095435428768762,0.0007137854394004212,0.006216006216006216,0.027639579878385848,9.98755931854248,1287,2.412,0.166
LegacySVD,20,0.00101010101010101,0.0009068829145844979,0.0003282246915471277,0.0009846924883764607,0.00777000777000777,0.03482587064676617,10.871007919311523,1287,2.412,0.166
